SnapshotDatum,Merk,Id,Name,Startdatum,DagenTotStart,NabijheidCategorie
2026-05-16,BAN,0015df15-3a87-43af-7c34-08dda98aef9c,Waterschapsheffingen,2026-09-02,109,4. > 90 dagen
2026-05-16,BAN,0097c602-9c72-483f-124e-08dbae9d0d21,Erfgoed en Natuur,2026-05-21,5,1. ≤ 14 dagen
2026-05-16,BAN,00f0d203-d1cd-4a6a-1243-08dbae9d0d21,Draagvlak Creëren,2026-11-12,180,4. > 90 dagen
2026-05-16,BAN,01a8c1e1-d881-45c6-4eb1-08dbe5edeefe,NVVB B5 Nederlandse Rechtsfeiten in de BRP,2026-11-11,179,4. > 90 dagen
2026-05-16,BAN,027f4970-1bd1-40e2-76d5-08ddbf96e18b,Intro Big Data| BI en Data Science,2026-06-18,33,3. 31-90 dagen
2026-05-16,BAN,02bbf7b9-0952-40ed-76d8-08ddbf96e18b,Microsoft Azure Fundamentals (AZ-900),2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,044a8acd-1548-477a-05b7-08dc23091d33,Leergang Mediation (MfN),2026-09-21,128,4. > 90 dagen
2026-05-16,BAN,048427d3-11fd-4d3e-08a1-08dc231bd9bd,Masterclass Strategisch HRM,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,04daed60-ca1f-4a77-0300-08dc20b32e81,Training Feedback Geven en Ontvangen,2026-06-09,24,2. 15-30 dagen
2026-05-16,BAN,04dbd59f-6bd8-4c16-29b5-08dbae9d0d21,Masterclass Netwerksturing binnen de Publieke Sector,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,0541a073-21cc-42a4-20ec-08dbae9d0d21,WOZ| OZB en RZB,2026-05-21,5,1. ≤ 14 dagen
2026-05-16,BAN,0576ef4f-ba95-4b1e-76ec-08ddbf96e18b,Masterclass Portfoliomanagement,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,071cb4ed-8b38-4e56-8b69-08dc2e24b3e1,Adviseur Energietransitie,2026-10-29,166,4. > 90 dagen
2026-05-16,BAN,08ae14bd-d2b9-4710-8b3a-08dc2e24b3e1,Masterclass Integrale Beleidsvorming,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,0925a0e9-24ab-44cf-08a3-08dc231bd9bd,Masterclass Verandermanagement,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,097a59c6-f8b3-4ebf-4eb3-08dbe5edeefe,Participatiewet Inkomensconsulent Verdieping,2026-11-23,191,4. > 90 dagen
2026-05-16,BAN,0b2897f8-869a-4a7c-bdfc-08dc9bfe9889,Post HBO Leerplichtambtenaar,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,0c000720-474c-4163-63ff-08dc37891e54,De Krachtige Adviseur,2026-09-04,111,4. > 90 dagen
2026-05-16,BAN,0c1d1ad7-43aa-400c-d6d8-08dd70299292,Beleidsadviseur Wmo,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,0c9c1872-8cb6-4028-150f-08dbae9d0d21,Informatiemanagement en Digitale Dienstverlening,2027-02-11,271,4. > 90 dagen
2026-05-16,BAN,0cd02d73-475c-4dcc-2109-08dbae9d0d21,Migratie voor Ervaren Medewerkers,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,0d0c3cde-2e51-4a83-e620-08dcd31d5c7c,De Speech,2026-11-10,178,4. > 90 dagen
2026-05-16,BAN,0d2ae786-6400-4c06-e605-08dcd31d5c7c,Ambtenaar Bouw- en Woningtoezicht 2 (ABW2),2026-09-11,118,4. > 90 dagen
2026-05-16,BAN,0ed01142-c048-4bb7-d6e0-08dd70299292,Specialisatie WOZ-taxateur Woningen - E-learning,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,0f7f755f-5ed7-4374-1245-08dbae9d0d21,Dynamiek in Presenteren,2026-09-11,118,4. > 90 dagen
2026-05-16,BAN,0fa1c139-20cd-4f69-151e-08dbae9d0d21,Post HBO BRP-specialist,2026-09-16,123,4. > 90 dagen
2026-05-16,BAN,10206653-81cd-4cef-d96c-08dc2e0a6c28,Informatiespecialist Overheid,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,10a86d3c-9818-4f61-1d7a-08dbae9d0d21,Gemeenterecht,2026-10-27,164,4. > 90 dagen
2026-05-16,BAN,10e3e033-36d1-4262-8b29-08dc2e24b3e1,Leergang Risico-| Veiligheids- en Crisismanagement,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,113310a2-1cd9-4f81-1dcc-08dbae9d0d21,Voorliggende Voorzieningen,2026-11-06,174,4. > 90 dagen
2026-05-16,BAN,12269f51-0c9b-497c-12dc-08dbae9d0d21,Veiligheid bij Publieksevenementen,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,124d959e-f01e-4fed-d6db-08dd70299292,Dataprivacy en AVG Awareness - Online,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,1280b576-3b70-48ed-8b55-08dc2e24b3e1,Besluit Bouwwerken Leefomgeving (Bbl) Basis,2026-09-11,118,4. > 90 dagen
2026-05-16,BAN,12c9e4a0-3601-424b-53e0-08dbe6abc85b,Starten bij de Gemeente,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,1367311a-572b-4bff-76d6-08ddbf96e18b,Introductie in IT Rollen en Terminologie,2026-06-04,19,2. 15-30 dagen
2026-05-16,BAN,137afa36-f79b-47cd-d6d4-08dd70299292,Beleidsadvisering,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,13ccbaf6-59bd-4ea0-2107-08dbae9d0d21,Praktisch Bestuursrecht,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,14a49b73-5c0b-4edf-29b7-08dbae9d0d21,Masterclass Toezicht en Governance,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,15024611-b585-4561-1514-08dd51935aad,Basismodule WOZ-medewerker,2026-09-30,137,4. > 90 dagen
2026-05-16,BAN,15a997b5-5c38-4e01-36df-08dc3782b5c1,Wmo-consulent,2026-09-09,116,4. > 90 dagen
2026-05-16,BAN,1606b490-97d2-423f-8b21-08dc2e24b3e1,Leergang Omgevingsmanagement,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,1610dc12-34f5-4bb9-1d88-08dbae9d0d21,Adviseur Juridische Zaken,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,16321335-5e9b-419c-8b59-08dc2e24b3e1,Bouwen en Wonen onder de Omgevingswet,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,17b513be-9d46-4f74-76da-08ddbf96e18b,BiSL® Foundation,2026-06-10,25,2. 15-30 dagen
2026-05-16,BAN,17ca78c2-7884-447a-e635-08dcd31d5c7c,NVVB Diplomalijn 1: Basiskennis Burgerzaken,2026-05-18,2,1. ≤ 14 dagen
2026-05-16,BAN,17daef17-eacb-45b5-0304-08dc20b32e81,Training Persoonlijke Effectiviteit,2026-06-04,19,2. 15-30 dagen
2026-05-16,BAN,1864c180-cbd6-477b-e604-08dcd31d5c7c,Algemene Uitkering,2026-10-08,145,4. > 90 dagen
2026-05-16,BAN,1a6f107f-ae5d-40db-d94c-08dc2e0a6c28,Introductie Omgevingswet E-learning,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,1bd773ad-fa73-40f3-02fd-08dc20b32e81,Training Effectief Onderhandelen,2026-06-11,26,2. 15-30 dagen
2026-05-16,BAN,1d018985-c38e-4021-76e3-08ddbf96e18b,Masterclass Diversiteit en Inclusieve Organisatie,2026-06-11,26,2. 15-30 dagen
2026-05-16,BAN,1d604898-f0e7-4946-5a16-08dd094d7f80,Masterclass Artificial Intelligence,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,1d65d1c0-d0e3-4006-29b9-08dbae9d0d21,Masterprogramma Organiseren en Netwerksturing in de Publieke Sector,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,1e38e606-5005-4ae4-5b45-08dcd3f7e885,Leergang Strategisch Adviseren in de Publieke Sector,2026-05-20,4,1. ≤ 14 dagen
2026-05-16,BAN,1f70ce1f-2d01-45c7-4ea9-08dbe5edeefe,Bijzondere Wetten Basis,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,1f76ddb8-27a6-4674-a0ec-08dda98aabc7,Leergang Public Leadership,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,20655df9-af75-4a13-1950-08dbae9d0d21,Nieuwe Wet Inburgering Verdieping,2026-10-08,145,4. > 90 dagen
2026-05-16,BAN,207b3bdd-a75a-4b6a-08a2-08dc231bd9bd,Masterclass Strategisch Management,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,207f0244-6768-40b2-7c2f-08dda98aef9c,Governance en Integriteit,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,209b1308-d35f-4d48-2108-08dbae9d0d21,Gegevensverstrekking| Verzoeken en Documenten voor Ervaren Medewerkers,2026-12-15,213,4. > 90 dagen
2026-05-16,BAN,2154dbaa-9033-4b59-cadc-08de21c7b852,Hoe Werkt de Gemeente - E-learning,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,219fc3d5-59da-4d1e-2947-08dc8ac48349,Consulent Werk,2026-10-01,138,4. > 90 dagen
2026-05-16,BAN,22ab36fd-6891-47e2-7c36-08dda98aef9c,Netwerken,2026-09-04,111,4. > 90 dagen
2026-05-16,BAN,238825c1-ca24-415a-4ead-08dbe5edeefe,Koninklijke Onderscheidingen,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,240e5eb0-ac8d-4620-08a8-08dc231bd9bd,Masterclass Leiderschap en Visie,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,24d28964-4db3-4c94-0305-08dc20b32e81,Training Resultaten Bereiken met je Team,2026-09-07,114,4. > 90 dagen
2026-05-16,BAN,26bda4c9-d93a-4ff5-76dd-08ddbf96e18b,AI-Brevet,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,27726119-993d-401a-76db-08ddbf96e18b,Data Driven Business Foundation,2026-07-14,59,3. 31-90 dagen
2026-05-16,BAN,28d2944b-c316-495c-12c5-08dbae9d0d21,Schrijven van Beschikkingen en Rapportages,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,2906158a-57d5-4316-1d7c-08dbae9d0d21,Fysieke Leefomgeving,2026-12-15,213,4. > 90 dagen
2026-05-16,BAN,2a56abd5-04ed-400e-a0eb-08dda98aabc7,Leergang Politiek Leiderschap,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,2af5be64-8ab2-45bf-1914-08dbae9d0d21,NVVB B12 Huisbezoek|  van Vooronderzoek tot Afhandeling,2026-05-21,5,1. ≤ 14 dagen
2026-05-16,BAN,2b8b1e20-0e83-4b76-8b5e-08dc2e24b3e1,Expert Juridische Zaken,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,2c230381-4367-4aba-210a-08dbae9d0d21,Burgerlijke Stand voor Ervaren Medewerkers,2027-03-30,318,4. > 90 dagen
2026-05-16,BAN,2d17dbab-f31d-4611-53dd-08dbe6abc85b,Jeugdwet - E-learning,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,30b0f22f-e6e5-4792-5157-08ddb9409e2f,Leergang Opgavegericht Werken,2026-09-15,122,4. > 90 dagen
2026-05-16,BAN,30cd4707-2881-4149-275c-08dbae9d0d21,Klantgericht Denken en Handelen voor de Frontoffice,2027-02-11,271,4. > 90 dagen
2026-05-16,BAN,32e49465-cf3e-48c2-a54b-08dd094d8e27,Masterclass Projectmanagement,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,32fdb95b-560e-40e6-181b-08dd6c53fee6,Politiek-bestuurlijke Sensitiviteit en Beïnvloeding,2026-11-30,198,4. > 90 dagen
2026-05-16,BAN,3374fc5e-b56a-4fba-210b-08dbae9d0d21,NVVB B0 Startersmodule,2026-05-18,2,1. ≤ 14 dagen
2026-05-16,BAN,352c91d7-a4c0-422b-bdfb-08dc9bfe9889,Leerplichtambtenaar,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,3590ef04-3cba-4c8f-1910-08dbae9d0d21,NVVB B6 Nederlandse Nationaliteitsrecht,2026-05-19,3,1. ≤ 14 dagen
2026-05-16,BAN,35ddb9ab-0b5b-4be4-d6d6-08dd70299292,Beleidsadviseur Jeugd,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,36885009-bd51-4fce-d95e-08dc2e0a6c28,De Professionele Adviseur,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,369bc242-49c4-4a07-1d9c-08dbae9d0d21,Criminaliteitsbestrijding en Ondermijning,2026-10-27,164,4. > 90 dagen
2026-05-16,BAN,376ef858-dfb9-499e-16ad-08dbae9d0d21,Leergang Netwerk- en Ketenregie in de Publieke Sector,2026-10-27,164,4. > 90 dagen
2026-05-16,BAN,3976b37a-f082-4c83-83f8-d98d962ead86,Participatie onder de Omgevingswet ,2026-09-22,129,4. > 90 dagen
2026-05-16,BAN,3d1bf1dc-5f1d-464a-1912-08dbae9d0d21,NVVB B10 Adresonderzoek 1,2026-09-01,108,4. > 90 dagen
2026-05-16,BAN,3de5ee8d-aa74-4d10-8b67-08dc2e24b3e1,Adviseur Jeugd,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,3e864e24-c19a-4e63-e62e-08dcd31d5c7c,Masterclass Bedrijfsvoering binnen de Overheid,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,3ef6f1dc-09e0-4f06-4eab-08dbe5edeefe,Evenementen en Protocol,2026-10-06,143,4. > 90 dagen
2026-05-16,BAN,3fbdd0fd-0f0d-4151-8b5d-08dc2e24b3e1,Expert Dienstverlening,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,41851d66-dc6a-410b-a0ed-08dda98aabc7,Leergang Strategie en Leiderschap in het Openbaar Bestuur,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,41fe4d2b-1323-4508-d959-08dc2e0a6c28,Masterclass Publiek-Private Samenwerking (PPS),2026-11-19,187,4. > 90 dagen
2026-05-16,BAN,432cb010-0490-464e-05bc-08dc23091d33,Masterclass Organisatiecultuur,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,4503f506-3bd7-4484-e08a-08dc20b5884d,Moderne Bedrijfsadministratie,2026-05-16,0,1. ≤ 14 dagen
2026-05-16,BAN,4873380c-9d8c-4ae5-e638-08dcd31d5c7c,Politieke Antenne,2026-11-30,198,4. > 90 dagen
2026-05-16,BAN,4882ba67-bf24-46ac-76e1-08ddbf96e18b,Training Kritisch Denken,2026-06-11,26,2. 15-30 dagen
2026-05-16,BAN,493f4d4d-cb9b-4fac-8b64-08dc2e24b3e1,Adviseur Sociaal Domein,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,499ad881-4026-46fc-d963-08dc2e0a6c28,NVVB Diplomalijn 3: Burgerlijke Stand - Basis,2026-05-20,4,1. ≤ 14 dagen
2026-05-16,BAN,499d82b6-f418-403c-20e6-08dbae9d0d21,Financiën| Planning en Control bij de Lokale Overheid (FILOK),2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,4a05f933-7482-4379-59fa-08dd094d7f80,Training Omgaan met Emotie en Agressie,2026-05-19,3,1. ≤ 14 dagen
2026-05-16,BAN,4b19ea8e-41ae-402d-53df-08dbe6abc85b,Schuldhulpverlening - E-learning,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,4b2883dd-1c48-4d8d-8b65-08dc2e24b3e1,Adviseur Wmo,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,4b67430f-7ac7-4f11-5b80-08dcd3f7e885,Training Conflicthantering,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,4b997a3c-9b1d-4df5-e608-08dcd31d5c7c,Actualiteitendag Marktmeesters| Marktbeheerders en Beleids­medewerkers Markten,2027-02-08,268,4. > 90 dagen
2026-05-16,BAN,4baa4369-b71d-4582-8b3e-08dc2e24b3e1,Masterclass Publieke Sector als Netwerkorganisatie,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,4bbe0840-ecd4-4b74-1917-08dbae9d0d21,NVVB B4b Nederlandse Rechtsfeiten in de Burgerlijke stand (overlijden| huwelijk en geregistreerd partnerschap),2026-06-17,32,3. 31-90 dagen
2026-05-16,BAN,4bbe7641-201a-499e-d94b-08dc2e0a6c28,Introductie Omgevingswet,2026-06-16,31,3. 31-90 dagen
2026-05-16,BAN,4c861049-61a8-4327-190e-08dbae9d0d21,NVVB B8 Gegevensverstrekking,2026-09-03,110,4. > 90 dagen
2026-05-16,BAN,4dca0614-005f-45d3-76e2-08ddbf96e18b,Training Leiderschap door Vrouwen,2026-10-01,138,4. > 90 dagen
2026-05-16,BAN,4e50e2be-152b-4cc8-76e0-08ddbf96e18b,Training Effectief Samenwerken met verschillende generaties,2026-06-15,30,2. 15-30 dagen
2026-05-16,BAN,51cda970-ba20-48bb-1d5b-08dbae9d0d21,Besluit Begroting en Verantwoording Basis,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,521991a6-f7a1-4837-1dda-08dbae9d0d21,Integraal Inkopen in het Sociaal Domein,2026-09-02,109,4. > 90 dagen
2026-05-16,BAN,521ca2ad-bfa8-4cef-5b7f-08dcd3f7e885,Training Coachingsvaardigheden,2026-07-06,51,3. 31-90 dagen
2026-05-16,BAN,52d38939-67db-4e9a-e60b-08dcd31d5c7c,Adviseur Lokale Overheid (ALO),2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,54afeaae-99f3-4173-53da-08dbe6abc85b,Bijstand en Schulden - E-learning,2026-06-01,16,2. 15-30 dagen
2026-05-16,BAN,54b4496b-1011-4d98-e079-08dc20b5884d,Werken met AI en ChatGPT,2026-05-21,5,1. ≤ 14 dagen
2026-05-16,BAN,54d724cc-43dc-4fa0-123c-08dbae9d0d21,Creatief Denken en Doen,2026-09-09,116,4. > 90 dagen
2026-05-16,BAN,55467c15-f54d-4fab-5156-08ddb9409e2f,Leergang Energietransitie,2026-09-10,117,4. > 90 dagen
2026-05-16,BAN,573459d3-73e5-44df-8b71-08dc2e24b3e1,Procesmanagement binnen de Overheid,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,577a4fed-358c-440a-05b9-08dc23091d33,Masterclass Bestuursrecht,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,57c595c1-3d1b-4bf6-a0e7-08dda98aabc7,Leergang Digitaal Leiderschap,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,587f17c9-3767-4c79-a54a-08dd094d8e27,Masterprogramma Project- en Programmamanagement,2026-09-14,121,4. > 90 dagen
2026-05-16,BAN,59046d3a-bff3-447b-14ef-08dbae9d0d21,Arbopreventiemedewerker en -coördinator,2026-09-03,110,4. > 90 dagen
2026-05-16,BAN,590b4004-e03f-4edd-aace-7f436f321d39,Effectief Leidinggeven aan het Griffieteam,2026-05-21,5,1. ≤ 14 dagen
2026-05-16,BAN,5ca35b8b-6734-4802-8b60-08dc2e24b3e1,Gebiedsontwikkeling: Van Planidee naar Uitvoering,2026-09-08,115,4. > 90 dagen
2026-05-16,BAN,5d44f2a4-f4fb-4d7e-d956-08dc2e0a6c28,Effectief Adviseren in de Publieke Sector,2026-06-02,17,2. 15-30 dagen
2026-05-16,BAN,5e374fe4-0722-48cc-e167-08dcddf8af76,Startend Griffier,2026-09-16,123,4. > 90 dagen
2026-05-16,BAN,5e52488f-94c9-4fce-7c33-08dda98aef9c,Strategisch Onderhandelen bij de Overheid,2026-09-03,110,4. > 90 dagen
2026-05-16,BAN,5eab5880-98c9-46ce-4ea4-08dbe5edeefe,Alcoholwet Basis,2026-08-31,107,4. > 90 dagen
2026-05-16,BAN,5fa462bd-b733-46b7-190d-08dbae9d0d21,NVVB B9 Awb en Procesrecht 1,2026-06-16,31,3. 31-90 dagen
2026-05-16,BAN,6047d875-4944-4797-bdfa-08dc9bfe9889,Introductie Leerplicht en Doorstroompunt,2026-09-11,118,4. > 90 dagen
2026-05-16,BAN,60eb9a06-8d86-4d07-4d7e-08dd5193bb45,Financieel Management bij Waterschappen,2026-10-07,144,4. > 90 dagen
2026-05-16,BAN,618d443f-e0be-49ab-1dc3-08dbae9d0d21,Nationale Opleiding tot Marktmeester,2026-09-07,114,4. > 90 dagen
2026-05-16,BAN,61c80d1a-3708-4b62-153d-08dbae9d0d21,Wmo voor de Frontoffice,2026-11-11,179,4. > 90 dagen
